No.,episode_num,agent ID,action
0,0,1,1
1,0,1,0
2,0,1,0
3,0,1,0
4,0,1,2
5,0,1,3
6,0,1,3
7,0,1,3
8,0,1,2
9,0,1,0
10,0,1,2
11,0,1,2
12,0,1,3
13,0,1,0
14,0,1,3
15,0,1,2
16,0,1,0
17,0,1,3
18,0,1,2
19,0,1,2
20,0,1,0
21,0,1,1
22,0,1,1
23,0,1,1
24,0,1,0
25,0,1,0
26,0,1,0
27,0,1,0
28,0,1,1
29,0,1,0
30,0,1,3
31,0,1,3
32,0,1,2
33,0,1,0
34,0,1,0
35,0,1,0
36,0,1,2
37,0,1,0
38,0,1,0
39,0,1,0
40,0,1,1
41,0,1,0
42,0,1,0
43,0,1,0
44,0,1,3
45,0,1,2
46,0,1,1
47,0,1,1
48,0,1,0
49,0,1,0
50,0,1,1
51,0,1,3
52,0,1,0
53,0,1,0
54,0,1,0
55,0,1,0
56,0,1,2
57,0,1,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,1
63,0,1,3
64,0,1,0
65,0,1,1
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,1
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,2
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,1
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,1
83,0,1,0
84,0,1,2
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,3
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,2
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,1
98,0,1,0
99,0,1,2
100,1,1,2
101,1,1,0
102,1,1,0
103,1,1,2
104,1,1,2
105,1,1,0
106,1,1,0
107,1,1,0
108,1,1,0
109,1,1,0
110,1,1,0
111,1,1,0
112,1,1,0
113,1,1,3
114,1,1,0
115,1,1,0
116,1,1,0
117,1,1,0
118,1,1,0
119,1,1,2
120,1,1,1
121,1,1,0
122,1,1,0
123,1,1,0
124,1,1,2
125,1,1,3
126,1,1,2
127,1,1,1
128,1,1,3
129,1,1,1
130,1,1,1
131,1,1,1
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,1,1,3
137,1,1,1
138,1,1,3
139,1,1,2
140,1,1,2
141,1,1,2
142,1,1,0
143,1,1,0
144,1,1,0
145,1,1,0
146,1,1,2
147,1,1,3
148,1,1,0
149,1,1,0
150,1,1,1
151,1,1,0
152,1,1,0
153,1,1,0
154,1,1,0
155,1,1,1
156,1,1,0
157,1,1,1
158,1,1,0
159,1,1,1
160,1,1,2
161,1,1,0
162,1,1,0
163,1,1,1
164,1,1,2
165,1,1,0
166,1,1,1
167,1,1,0
168,1,1,1
169,1,1,0
170,1,1,1
171,1,1,0
172,1,1,1
173,1,1,0
174,1,1,1
175,1,1,1
176,1,1,0
177,1,1,1
178,1,1,1
179,1,1,0
180,1,1,1
181,1,1,0
182,1,1,1
183,1,1,1
184,1,1,0
185,1,1,0
186,1,1,1
187,1,1,0
188,1,1,1
189,1,1,0
190,1,1,1
191,1,1,0
192,1,1,1
193,1,1,0
194,1,1,1
195,1,1,2
196,1,1,0
197,1,1,1
198,1,1,1
199,1,1,1
200,2,1,1
201,2,1,1
202,2,1,1
203,2,1,1
204,2,1,3
205,2,1,1
206,2,1,1
207,2,1,2
208,2,1,3
209,2,1,0
210,2,1,1
211,2,1,0
212,2,1,3
213,2,1,3
214,2,1,0
215,2,1,1
216,2,1,0
217,2,1,1
218,2,1,3
219,2,1,0
220,2,1,1
221,2,1,0
222,2,1,1
223,2,1,1
224,2,1,0
225,2,1,1
226,2,1,1
227,2,1,0
228,2,1,1
229,2,1,1
230,2,1,0
231,2,1,1
232,2,1,0
233,2,1,1
234,2,1,0
235,2,1,0
236,2,1,1
237,2,1,1
238,2,1,0
239,2,1,1
240,2,1,0
241,2,1,1
242,2,1,0
243,2,1,1
244,2,1,1
245,2,1,1
246,2,1,1
247,2,1,1
248,2,1,1
249,2,1,1
250,2,1,1
251,2,1,1
252,2,1,1
253,2,1,1
254,2,1,1
255,2,1,1
256,2,1,1
257,2,1,1
258,2,1,1
259,2,1,1
260,2,1,1
261,2,1,1
262,2,1,1
263,2,1,1
264,2,1,1
265,2,1,0
266,2,1,1
267,2,1,1
268,2,1,1
269,2,1,1
270,2,1,1
271,2,1,2
272,2,1,1
273,2,1,1
274,2,1,1
275,2,1,1
276,2,1,1
277,2,1,1
278,2,1,1
279,2,1,1
280,2,1,1
281,2,1,1
282,2,1,1
283,2,1,1
284,2,1,1
285,2,1,1
286,2,1,1
287,2,1,1
288,2,1,1
289,2,1,1
290,2,1,1
291,2,1,1
292,2,1,1
293,2,1,1
294,2,1,0
295,2,1,1
296,2,1,2
297,2,1,2
298,2,1,2
299,2,1,2
300,3,1,2
301,3,1,2
302,3,1,2
303,3,1,2
304,3,1,2
305,3,1,2
306,3,1,2
307,3,1,2
308,3,1,2
309,3,1,2
310,3,1,2
311,3,1,2
312,3,1,2
313,3,1,2
314,3,1,2
315,3,1,2
316,3,1,2
317,3,1,2
318,3,1,2
319,3,1,1
320,3,1,2
321,3,1,2
322,3,1,2
323,3,1,2
324,3,1,2
325,3,1,2
326,3,1,2
327,3,1,2
328,3,1,2
329,3,1,2
330,3,1,2
331,3,1,2
332,3,1,2
333,3,1,2
334,3,1,2
335,3,1,2
336,3,1,2
337,3,1,1
338,3,1,2
339,3,1,2
340,3,1,2
341,3,1,1
342,4,1,2
343,4,1,2
344,4,1,2
345,4,1,2
346,4,1,2
347,4,1,2
348,4,1,2
349,4,1,2
350,4,1,0
351,4,1,2
352,4,1,2
353,4,1,2
354,4,1,2
355,4,1,2
356,4,1,2
357,4,1,2
358,4,1,2
359,4,1,2
360,4,1,2
361,4,1,2
362,4,1,1
363,4,1,1
364,4,1,1
365,4,1,1
366,5,1,1
367,5,1,1
368,5,1,1
369,5,1,1
370,5,1,1
371,5,1,1
372,5,1,1
373,5,1,1
374,5,1,1
375,5,1,1
376,5,1,1
377,5,1,1
378,5,1,1
379,5,1,1
380,5,1,1
381,5,1,1
382,5,1,1
383,5,1,1
384,5,1,1
385,5,1,1
386,5,1,1
387,5,1,1
388,5,1,1
389,5,1,1
390,5,1,2
391,5,1,2
392,5,1,2
393,5,1,2
394,5,1,2
395,5,1,2
396,5,1,2
397,5,1,2
398,5,1,2
399,5,1,2
400,5,1,2
401,5,1,2
402,5,1,2
403,5,1,2
404,5,1,2
405,5,1,2
406,5,1,2
407,5,1,2
408,5,1,2
409,5,1,2
410,5,1,2
411,5,1,2
412,5,1,0
413,5,1,2
414,5,1,2
415,5,1,2
416,5,1,2
417,5,1,2
418,5,1,2
419,5,1,2
420,5,1,2
421,5,1,2
422,5,1,2
423,5,1,2
424,5,1,2
425,5,1,2
426,5,1,2
427,5,1,2
428,5,1,2
429,5,1,1
430,5,1,2
431,5,1,2
432,5,1,2
433,5,1,2
434,5,1,2
435,5,1,2
436,5,1,2
437,5,1,2
438,5,1,2
439,5,1,1
440,6,1,2
441,6,1,2
442,6,1,2
443,6,1,2
444,6,1,2
445,6,1,2
446,6,1,2
447,6,1,2
448,6,1,1
449,6,1,2
450,6,1,2
451,6,1,2
452,6,1,2
453,6,1,2
454,6,1,2
455,6,1,2
456,6,1,2
457,6,1,2
458,6,1,2
459,6,1,2
460,6,1,2
461,6,1,2
462,6,1,2
463,6,1,2
464,6,1,2
465,6,1,2
466,6,1,2
467,6,1,2
468,6,1,2
469,6,1,2
470,6,1,2
471,6,1,2
472,6,1,2
473,6,1,2
474,6,1,2
475,6,1,2
476,6,1,2
477,6,1,2
478,6,1,2
479,6,1,2
480,6,1,2
481,6,1,2
482,6,1,2
483,6,1,2
484,6,1,2
485,6,1,2
486,6,1,2
487,6,1,2
488,6,1,2
489,6,1,2
490,6,1,2
491,6,1,0
492,6,1,2
493,6,1,2
494,6,1,2
495,6,1,2
496,6,1,2
497,6,1,2
498,6,1,2
499,6,1,2
500,6,1,2
501,6,1,2
502,6,1,2
503,6,1,2
504,6,1,2
505,6,1,2
506,6,1,2
507,6,1,2
508,6,1,2
509,6,1,2
510,6,1,1
511,6,1,2
512,6,1,2
513,6,1,2
514,6,1,2
515,6,1,2
516,6,1,2
517,6,1,2
518,6,1,2
519,6,1,2
520,6,1,2
521,6,1,2
522,6,1,2
523,6,1,2
524,6,1,2
525,6,1,2
526,6,1,2
527,6,1,2
528,6,1,2
529,6,1,2
530,6,1,2
531,6,1,2
532,6,1,2
533,6,1,2
534,6,1,2
535,6,1,2
536,6,1,2
537,6,1,2
538,6,1,2
539,6,1,2
540,7,1,2
541,7,1,2
542,7,1,2
543,7,1,2
544,7,1,2
545,7,1,2
546,7,1,2
547,7,1,2
548,7,1,2
549,7,1,2
550,7,1,2
551,7,1,2
552,7,1,2
553,7,1,2
554,7,1,2
555,7,1,2
556,7,1,2
557,7,1,2
558,7,1,2
559,7,1,2
560,7,1,2
561,7,1,2
562,7,1,2
563,7,1,2
564,7,1,2
565,7,1,2
566,7,1,2
567,7,1,2
568,7,1,2
569,7,1,2
570,7,1,2
571,7,1,2
572,7,1,2
573,7,1,2
574,7,1,2
575,7,1,2
576,7,1,2
577,7,1,2
578,7,1,2
579,7,1,2
580,7,1,2
581,7,1,2
582,7,1,2
583,7,1,2
584,7,1,2
585,7,1,2
586,7,1,2
587,7,1,2
588,7,1,2
589,7,1,2
590,7,1,2
591,7,1,2
592,7,1,2
593,7,1,2
594,7,1,2
595,7,1,2
596,7,1,2
597,7,1,2
598,7,1,2
599,7,1,2
600,7,1,0
601,7,1,2
602,7,1,2
603,7,1,2
604,7,1,2
605,7,1,2
606,7,1,2
607,7,1,2
608,7,1,2
609,7,1,2
610,7,1,2
611,7,1,2
612,7,1,2
613,7,1,2
614,7,1,2
615,7,1,2
616,7,1,2
617,7,1,2
618,7,1,2
619,7,1,2
620,7,1,2
621,7,1,2
622,7,1,2
623,7,1,2
624,7,1,2
625,7,1,2
626,7,1,2
627,7,1,3
628,7,1,2
629,7,1,2
630,7,1,2
631,7,1,2
632,7,1,2
633,7,1,2
634,7,1,2
635,7,1,2
636,7,1,2
637,7,1,2
638,7,1,2
639,7,1,2
640,8,1,2
641,8,1,3
642,8,1,2
643,8,1,2
644,8,1,2
645,8,1,2
646,8,1,2
647,8,1,2
648,8,1,2
649,8,1,2
650,8,1,2
651,8,1,2
652,8,1,2
653,8,1,2
654,8,1,2
655,8,1,0
656,8,1,2
657,8,1,2
658,8,1,2
659,8,1,2
660,8,1,2
661,8,1,2
662,8,1,2
663,8,1,2
664,8,1,2
665,8,1,2
666,8,1,2
667,8,1,2
668,8,1,2
669,8,1,2
670,8,1,2
671,8,1,2
672,8,1,2
673,8,1,2
674,8,1,2
675,8,1,2
676,8,1,2
677,8,1,2
678,8,1,2
679,8,1,2
680,8,1,2
681,8,1,2
682,8,1,2
683,8,1,2
684,8,1,2
685,8,1,2
686,8,1,2
687,8,1,2
688,8,1,2
689,8,1,2
690,8,1,2
691,8,1,2
692,8,1,2
693,8,1,2
694,8,1,3
695,8,1,2
696,8,1,2
697,8,1,2
698,8,1,2
699,8,1,2
700,8,1,2
701,8,1,2
702,8,1,2
703,8,1,0
704,8,1,2
705,8,1,2
706,8,1,2
707,8,1,2
708,8,1,2
709,8,1,2
710,8,1,0
711,8,1,2
712,8,1,2
713,8,1,2
714,8,1,2
715,8,1,2
716,8,1,2
717,8,1,2
718,8,1,2
719,8,1,2
720,8,1,2
721,8,1,2
722,8,1,2
723,8,1,2
724,8,1,2
725,8,1,2
726,8,1,2
727,8,1,1
728,8,1,2
729,8,1,2
730,8,1,2
731,8,1,2
732,8,1,2
733,8,1,2
734,8,1,2
735,8,1,2
736,8,1,2
737,8,1,2
738,8,1,2
739,8,1,2
740,9,1,2
741,9,1,2
742,9,1,2
743,9,1,2
744,9,1,2
745,9,1,2
746,9,1,2
747,9,1,2
748,9,1,2
749,9,1,2
750,9,1,2
751,9,1,2
752,9,1,2
753,9,1,2
754,9,1,2
755,9,1,2
756,9,1,2
757,9,1,2
758,9,1,2
759,9,1,2
760,9,1,2
761,9,1,2
762,9,1,2
763,9,1,2
764,9,1,2
765,9,1,2
766,9,1,2
767,9,1,2
768,9,1,2
769,9,1,2
770,9,1,2
771,9,1,2
772,9,1,2
773,9,1,2
774,9,1,2
775,9,1,2
776,9,1,2
777,9,1,2
778,9,1,2
779,9,1,2
780,9,1,2
781,9,1,2
782,9,1,2
783,9,1,2
784,9,1,2
785,9,1,2
786,9,1,2
787,9,1,2
788,9,1,0
789,9,1,2
790,9,1,2
791,9,1,2
792,9,1,2
793,9,1,2
794,9,1,2
795,9,1,2
796,9,1,2
797,9,1,2
798,9,1,1
799,9,1,2
800,9,1,2
801,9,1,1
802,9,1,2
803,9,1,2
804,9,1,2
805,9,1,2
806,9,1,2
807,9,1,2
808,9,1,1
809,9,1,2
810,9,1,2
811,9,1,2
812,9,1,2
813,9,1,2
814,9,1,2
815,9,1,2
816,9,1,2
817,9,1,2
818,9,1,2
819,9,1,2
820,9,1,2
821,9,1,2
822,9,1,2
823,9,1,2
824,9,1,2
825,9,1,2
826,9,1,2
827,9,1,2
828,9,1,2
829,9,1,2
830,9,1,2
831,9,1,2
832,9,1,2
833,9,1,2
834,9,1,2
835,9,1,2
836,9,1,2
837,9,1,2
838,9,1,2
839,9,1,2
840,10,1,1
841,10,1,3
842,10,1,2
843,10,1,2
844,10,1,2
845,10,1,2
846,10,1,2
847,10,1,2
848,10,1,2
849,10,1,2
850,10,1,2
851,10,1,2
852,10,1,2
853,10,1,2
854,10,1,2
855,10,1,2
856,10,1,2
857,10,1,2
858,10,1,2
859,10,1,2
860,10,1,2
861,10,1,2
862,10,1,2
863,10,1,2
864,10,1,2
865,10,1,2
866,10,1,2
867,10,1,2
868,10,1,2
869,10,1,2
870,10,1,2
871,10,1,2
872,10,1,2
873,10,1,2
874,10,1,2
875,10,1,2
876,10,1,2
877,10,1,2
878,10,1,2
879,10,1,2
880,10,1,2
881,10,1,2
882,10,1,2
883,10,1,2
884,10,1,2
885,10,1,2
886,10,1,2
887,10,1,2
888,10,1,2
889,10,1,2
890,10,1,2
891,10,1,2
892,10,1,2
893,10,1,2
894,10,1,2
895,10,1,2
896,10,1,2
897,10,1,3
898,10,1,2
899,10,1,2
900,10,1,2
901,10,1,2
902,10,1,2
903,10,1,2
904,10,1,3
905,10,1,2
906,10,1,1
907,10,1,2
908,10,1,2
909,10,1,2
910,10,1,2
911,10,1,2
912,10,1,2
913,10,1,2
914,10,1,2
915,10,1,2
916,10,1,2
917,10,1,2
918,10,1,2
919,10,1,2
920,10,1,2
921,10,1,2
922,10,1,2
923,10,1,2
924,10,1,2
925,10,1,2
926,10,1,2
927,10,1,2
928,10,1,2
929,10,1,2
930,10,1,2
931,10,1,2
932,10,1,2
933,10,1,2
934,10,1,2
935,10,1,2
936,10,1,2
937,10,1,2
938,10,1,2
939,10,1,2
940,11,1,1
941,11,1,2
942,11,1,2
943,11,1,2
944,11,1,2
945,11,1,2
946,11,1,2
947,11,1,2
948,11,1,2
949,11,1,2
950,11,1,2
951,11,1,2
952,11,1,3
953,11,1,2
954,11,1,2
955,11,1,2
956,11,1,2
957,11,1,2
958,11,1,2
959,11,1,2
960,11,1,2
961,11,1,2
962,11,1,2
963,11,1,2
964,11,1,2
965,11,1,2
966,11,1,2
967,11,1,2
968,11,1,2
969,11,1,2
970,11,1,2
971,11,1,2
972,11,1,2
973,11,1,2
974,11,1,2
975,11,1,2
976,11,1,2
977,11,1,2
978,11,1,2
979,11,1,2
980,11,1,2
981,11,1,2
982,11,1,2
983,11,1,2
984,11,1,2
985,11,1,2
986,11,1,2
987,11,1,2
988,11,1,2
989,11,1,2
990,11,1,2
991,11,1,2
992,11,1,2
993,11,1,2
994,11,1,2
995,11,1,2
996,11,1,2
997,11,1,2
998,11,1,2
999,11,1,2
1000,11,1,2
1001,11,1,2
1002,11,1,2
1003,11,1,2
1004,11,1,2
1005,11,1,2
1006,11,1,2
1007,11,1,2
1008,11,1,2
1009,11,1,2
1010,11,1,2
1011,11,1,2
1012,11,1,2
1013,11,1,2
1014,11,1,2
1015,11,1,2
1016,11,1,2
1017,11,1,2
1018,11,1,2
1019,11,1,2
1020,11,1,2
1021,11,1,2
1022,11,1,2
1023,11,1,2
1024,11,1,2
1025,11,1,2
1026,11,1,2
1027,11,1,2
1028,11,1,2
1029,11,1,1
1030,11,1,0
1031,11,1,2
1032,11,1,3
1033,11,1,2
1034,11,1,2
1035,11,1,2
1036,11,1,2
1037,11,1,2
1038,11,1,2
1039,11,1,2
1040,12,1,1
1041,12,1,2
1042,12,1,2
1043,12,1,2
1044,12,1,2
1045,12,1,2
1046,12,1,2
1047,12,1,2
1048,12,1,2
1049,12,1,2
1050,12,1,2
1051,12,1,2
1052,12,1,2
1053,12,1,2
1054,12,1,2
1055,12,1,2
1056,12,1,2
1057,12,1,2
1058,12,1,2
1059,12,1,2
1060,12,1,2
1061,12,1,2
1062,12,1,2
1063,12,1,2
1064,12,1,2
1065,12,1,2
1066,12,1,2
1067,12,1,2
1068,12,1,2
1069,12,1,2
1070,12,1,2
1071,12,1,2
1072,12,1,2
1073,12,1,2
1074,12,1,2
1075,12,1,2
1076,12,1,2
1077,12,1,2
1078,12,1,2
1079,12,1,2
1080,12,1,2
1081,12,1,2
1082,12,1,2
1083,12,1,2
1084,12,1,2
1085,12,1,2
1086,12,1,2
1087,12,1,2
1088,12,1,2
1089,12,1,2
1090,12,1,2
1091,12,1,2
1092,12,1,2
1093,12,1,2
1094,12,1,2
1095,12,1,2
1096,12,1,2
1097,12,1,2
1098,12,1,2
1099,12,1,2
1100,12,1,2
1101,12,1,2
1102,12,1,2
1103,12,1,2
1104,12,1,2
1105,12,1,2
1106,12,1,2
1107,12,1,2
1108,12,1,2
1109,12,1,2
1110,12,1,2
1111,12,1,2
1112,12,1,1
1113,12,1,2
1114,12,1,2
1115,12,1,2
1116,12,1,2
1117,12,1,2
1118,12,1,2
1119,12,1,2
1120,12,1,2
1121,12,1,2
1122,12,1,2
1123,12,1,2
1124,12,1,2
1125,12,1,2
1126,12,1,2
1127,12,1,2
1128,12,1,2
1129,12,1,2
1130,12,1,2
1131,12,1,2
1132,12,1,2
1133,12,1,2
1134,12,1,2
1135,12,1,2
1136,12,1,2
1137,12,1,2
1138,12,1,2
1139,12,1,2
1140,13,1,1
1141,13,1,1
1142,13,1,2
1143,13,1,2
1144,13,1,2
1145,13,1,2
1146,13,1,2
1147,13,1,2
1148,13,1,2
1149,13,1,2
1150,13,1,2
1151,13,1,2
1152,13,1,2
1153,13,1,2
1154,13,1,2
1155,13,1,2
1156,13,1,2
1157,13,1,2
1158,13,1,2
1159,13,1,2
1160,13,1,2
1161,13,1,2
1162,13,1,2
1163,13,1,2
1164,13,1,0
1165,13,1,1
1166,13,1,1
1167,14,1,1
1168,14,1,1
1169,14,1,2
1170,14,1,2
1171,14,1,2
1172,14,1,2
1173,14,1,2
1174,14,1,2
1175,14,1,2
1176,14,1,2
1177,14,1,2
1178,14,1,2
1179,14,1,2
1180,14,1,2
1181,14,1,2
1182,14,1,2
1183,14,1,2
1184,14,1,2
1185,14,1,2
1186,14,1,2
1187,14,1,2
1188,14,1,2
1189,14,1,2
1190,14,1,2
1191,14,1,2
1192,14,1,2
1193,14,1,2
1194,14,1,2
1195,14,1,2
1196,14,1,2
1197,14,1,2
1198,14,1,2
1199,14,1,2
1200,14,1,2
1201,14,1,2
1202,14,1,2
1203,14,1,2
1204,14,1,2
1205,14,1,2
1206,14,1,2
1207,14,1,2
1208,14,1,2
1209,14,1,2
1210,14,1,2
1211,14,1,2
1212,14,1,2
1213,14,1,2
1214,14,1,2
1215,14,1,2
1216,14,1,2
1217,14,1,2
1218,14,1,2
1219,14,1,2
1220,14,1,2
1221,14,1,2
1222,14,1,2
1223,14,1,2
1224,14,1,2
1225,14,1,2
1226,14,1,2
1227,14,1,2
1228,14,1,2
1229,14,1,1
1230,15,1,1
1231,15,1,1
1232,15,1,2
1233,15,1,2
1234,15,1,2
1235,15,1,2
1236,15,1,2
1237,15,1,2
1238,15,1,2
1239,15,1,2
1240,15,1,2
1241,15,1,2
1242,15,1,2
1243,15,1,2
1244,15,1,0
1245,15,1,1
1246,15,1,2
1247,15,1,2
1248,15,1,2
1249,15,1,2
1250,15,1,2
1251,15,1,2
1252,15,1,2
1253,15,1,2
1254,15,1,2
1255,15,1,2
1256,15,1,2
1257,15,1,2
1258,15,1,2
1259,15,1,3
1260,15,1,2
1261,15,1,2
1262,15,1,2
1263,15,1,2
1264,15,1,2
1265,15,1,2
1266,15,1,2
1267,15,1,2
1268,15,1,2
1269,15,1,2
1270,15,1,2
1271,15,1,2
1272,15,1,2
1273,15,1,2
1274,15,1,2
1275,15,1,2
1276,15,1,2
1277,15,1,2
1278,15,1,2
1279,15,1,2
1280,15,1,2
1281,15,1,2
1282,15,1,2
1283,15,1,1
1284,16,1,1
1285,16,1,1
1286,16,1,2
1287,16,1,2
1288,16,1,2
1289,16,1,2
1290,16,1,2
1291,16,1,2
1292,16,1,2
1293,16,1,2
1294,16,1,2
1295,16,1,0
1296,16,1,1
1297,16,1,2
1298,16,1,2
1299,16,1,2
1300,16,1,2
1301,16,1,2
1302,16,1,2
1303,16,1,2
1304,16,1,2
1305,16,1,2
1306,16,1,2
1307,16,1,2
1308,16,1,2
1309,16,1,2
1310,16,1,2
1311,16,1,2
1312,16,1,2
1313,16,1,2
1314,16,1,2
1315,16,1,2
1316,16,1,2
1317,16,1,2
1318,16,1,2
1319,16,1,2
1320,16,1,2
1321,16,1,2
1322,16,1,2
1323,16,1,2
1324,16,1,2
1325,16,1,2
1326,16,1,2
1327,16,1,2
1328,16,1,2
1329,16,1,2
1330,16,1,2
1331,16,1,2
1332,16,1,2
1333,16,1,2
1334,16,1,2
1335,16,1,2
1336,16,1,2
1337,16,1,2
1338,16,1,2
1339,16,1,2
1340,16,1,2
1341,16,1,2
1342,16,1,2
1343,16,1,2
1344,16,1,2
1345,16,1,2
1346,16,1,2
1347,16,1,3
1348,16,1,2
1349,16,1,2
1350,16,1,2
1351,16,1,2
1352,16,1,2
1353,16,1,2
1354,16,1,2
1355,16,1,2
1356,16,1,2
1357,16,1,2
1358,16,1,2
1359,16,1,2
1360,16,1,2
1361,16,1,2
1362,16,1,2
1363,16,1,2
1364,16,1,2
1365,16,1,2
1366,16,1,2
1367,16,1,2
1368,16,1,2
1369,16,1,2
1370,16,1,2
1371,16,1,2
1372,16,1,2
1373,16,1,2
1374,16,1,2
1375,16,1,2
1376,16,1,2
1377,16,1,2
1378,16,1,2
1379,16,1,2
1380,16,1,2
1381,16,1,2
1382,16,1,2
1383,16,1,2
1384,17,1,1
1385,17,1,1
1386,17,1,2
1387,17,1,2
1388,17,1,2
1389,17,1,2
1390,17,1,2
1391,17,1,2
1392,17,1,2
1393,17,1,2
1394,17,1,2
1395,17,1,2
1396,17,1,2
1397,17,1,2
1398,17,1,2
1399,17,1,2
1400,17,1,2
1401,17,1,2
1402,17,1,2
1403,17,1,2
1404,17,1,2
1405,17,1,2
1406,17,1,2
1407,17,1,2
1408,17,1,1
1409,18,1,1
1410,18,1,1
1411,18,1,2
1412,18,1,2
1413,18,1,2
1414,18,1,2
1415,18,1,2
